49960,1
51060,1
51119,1
51120,1
51121,1
51122,1
51123,1
51124,1
51125,1
51126,1
51127,1
51128,1
51130,1
51131,1
51132,1
51133,1
51134,1
51135,1
51136,1
51139,1
51140,1
51141,1
51142,1
51143,1
51144,1
51145,1
51146,1
51147,1
51148,1
51149,1
51150,1
51151,1
51152,1
51153,1
51154,1
51155,1
51156,1
51157,1
51158,1
51159,1
51160,1
51161,1
51162,1
51163,1
51164,1
51165,1
51169,1
51170,1
37261,2
37913,2
37914,2
37915,2
37916,2
37917,2
37918,2
37921,2
37922,2
37923,2
37924,2
37925,2
37926,2
37927,2
37928,2
37929,2
37930,2
37931,2
37932,2
37933,2
37934,2
37935,2
37936,2
37937,2
37938,2
37939,2
37940,2
37941,2
37942,2
37943,2
37944,2
37945,2
37946,2
37947,2
37948,2
37949,2
37950,2
37951,2
37952,2
37953,2
37954,2
37955,2
37956,2
37957,2
37958,2
37959,2
37960,2
37961,2
101551,3
101552,3
101553,3
101554,3
101555,3
101556,3
101557,3
101558,3
101559,3
101560,3
101561,3
101562,3
101563,3
101564,3
101565,3
101566,3
101567,3
101568,3
101569,3
101570,3
101571,3
101572,3
101573,3
101574,3
101575,3
101576,3
101577,3
101578,3
101579,3
101580,3
101581,3
101582,3
101583,3
101584,3
101585,3
101586,3
101587,3
101588,3
101589,3
101590,3
101591,3
101592,3
101593,3
101594,3
101595,3
101596,3
101597,3
101598,3
72052,4
101725,4
102616,4
103117,4
103118,4
103119,4
103120,4
103121,4
103122,4
103123,4
103124,4
103125,4
103126,4
103127,4
103128,4
103129,4
103130,4
103131,4
103132,4
103133,4
103134,4
103135,4
103136,4
103137,4
103138,4
103139,4
103140,4
103141,4
103142,4
103143,4
103144,4
103145,4
103146,4
103147,4
103148,4
103149,4
103150,4
103151,4
103152,4
103153,4
103154,4
103155,4
103156,4
103157,4
103158,4
103159,4
103160,4
103161,4
59497,5
59846,5
59848,5
59849,5
59850,5
59870,5
59871,5
59872,5
59873,5
59874,5
59904,5
59905,5
59906,5
59907,5
59908,5
59909,5
59913,5
60103,5
60151,5
60153,5
60154,5
60155,5
60156,5
60157,5
60158,5
60159,5
60160,5
60161,5
60162,5
60163,5
60164,5
60165,5
60166,5
60168,5
60169,5
60170,5
60171,5
60172,5
60173,5
60174,5
60175,5
60176,5
60177,5
60178,5
60179,5
60180,5
60181,5
60182,5
53068,1
53257,1
53260,1
53261,1
53262,1
53265,1
53272,1
53276,1
38758,2
38761,2
38762,2
38763,2
38764,2
38765,2
38766,2
38767,2
103007,3
103008,3
103028,3
103037,3
103048,3
103057,3
103063,3
103065,3
104631,4
104638,4
104657,4
104659,4
104660,4
104670,4
104671,4
104672,4
61242,5
61243,5
61245,5
61246,5
61248,5
61251,5
61253,5
61254,5
